customer_id,gender,senior_citizen,age,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,num_services,support_tickets,sessions_per_week,churn
CUST00036,Female,0,27,18,One year,Electronic check,DSL,61.33,994.92,1,1,5.4,No
CUST00037,Male,0,27,4,One year,Credit card,DSL,60.54,246.32,1,1,1.2,No
CUST00038,Female,0,23,60,Month-to-month,Mailed check,No,85.71,4996.26,3,2,4.0,No
CUST00039,Female,0,20,14,One year,Mailed check,Fiber optic,67.96,995.49,4,1,4.6,No
CUST00040,Female,0,66,9,One year,Electronic check,No,70.78,662.03,4,1,8.2,No
CUST00041,Female,0,39,53,One year,Credit card,Fiber optic,62.1,3438.07,2,1,1.5,No
CUST00042,Male,1,19,2,Two year,Credit card,DSL,119.15,247.92,7,0,0.9,No
CUST00043,Female,0,56,60,Month-to-month,Bank transfer,Fiber optic,112.61,5753.46,2,1,2.1,No
CUST00044,Male,0,29,71,Month-to-month,Bank transfer,DSL,49.39,3500.44,7,3,,No
CUST00045,Male,0,74,44,One year,Electronic check,No,29.38,1169.12,5,1,7.0,No
CUST00046,Male,0,18,8,Two year,Mailed check,DSL,103.66,821.82,3,1,1.0,No
CUST00047,Female,0,69,47,Month-to-month,Electronic check,DSL,119.71,5885.87,1,0,0.7,No
CUST00048,Male,0,54,35,Two year,Bank transfer,DSL,47.85,1436.72,4,0,1.9,No
CUST00049,Female,0,30,36,Two year,Electronic check,No,54.49,1889.84,5,0,0.5,No
CUST00050,Female,0,49,50,Month-to-month,Electronic check,Fiber optic,114.05,5685.34,3,0,4.3,Yes
CUST00051,Female,0,42,4,Month-to-month,Credit card,Fiber optic,90.54,326.19,2,1,0.1,No
CUST00052,Male,0,68,2,Month-to-month,Credit card,DSL,48.16,86.21,3,2,0.8,No
CUST00053,Male,0,55,6,Month-to-month,Mailed check,DSL,77.27,399.67,5,2,0.1,No
CUST00054,Female,0,22,54,Month-to-month,Credit card,DSL,114.31,5362.78,1,3,0.8,No
CUST00055,Male,0,54,4,One year,Electronic check,No,100.8,395.68,2,2,0.2,No
CUST00056,Female,0,35,54,One year,Mailed check,Fiber optic,93.67,4810.54,6,2,3.4,No
CUST00057,Male,0,27,63,Month-to-month,Mailed check,DSL,93.17,5024.56,2,0,2.5,No
CUST00058,Male,0,70,18,Month-to-month,Credit card,DSL,36.16,679.47,1,2,0.7,No
CUST00059,Male,0,36,44,One year,Electronic check,DSL,102.12,4408.85,7,3,0.7,Yes
CUST00060,Female,0,51,34,Month-to-month,Electronic check,DSL,46.16,1495.82,2,2,1.0,No
CUST00061,Female,1,47,62,Month-to-month,Mailed check,Fiber optic,112.9,6331.63,5,0,4.8,Yes
CUST00062,Female,0,49,14,Month-to-month,Bank transfer,DSL,55.19,758.46,7,3,0.5,No
CUST00063,Female,0,28,48,Two year,Electronic check,DSL,105.48,4672.34,2,0,0.4,Yes
CUST00064,Male,0,39,15,One year,Electronic check,Fiber optic,45.16,670.96,4,4,2.1,No
CUST00065,Male,0,47,62,One year,Electronic check,DSL,70.48,4310.83,3,0,6.0,No
CUST00066,Male,0,18,40,One year,Mailed check,DSL,28.9,1004.04,7,1,0.8,No
CUST00067,Female,0,23,53,Month-to-month,Credit card,DSL,85.33,4666.54,5,0,0.3,No
CUST00068,Female,0,31,24,Month-to-month,Electronic check,DSL,103.28,2348.33,1,1,2.0,No
CUST00069,Male,0,73,26,Month-to-month,Electronic check,DSL,91.28,2203.8,5,1,4.0,No
CUST00070,Female,0,20,60,Month-to-month,Electronic check,DSL,71.37,4458.17,4,1,2.9,No
CUST00071,Female,1,56,41,One year,Electronic check,Fiber optic,22.6,868.82,7,1,1.6,No
CUST00072,Male,0,32,29,Month-to-month,Mailed check,DSL,113.21,3264.19,2,0,0.1,Yes
CUST00073,Female,0,48,15,Two year,Mailed check,Fiber optic,89.96,1323.8,2,3,1.1,No
CUST00074,Female,0,36,45,Month-to-month,Electronic check,No,94.08,3738.39,6,2,7.5,No
CUST00075,Male,1,39,65,One year,Credit card,Fiber optic,99.06,6749.44,5,1,0.8,No
CUST00076,Female,0,24,71,Month-to-month,Mailed check,DSL,94.27,6309.79,2,2,2.9,No
CUST00077,Male,0,44,9,Month-to-month,Credit card,DSL,62.99,526.63,2,1,7.1,No
CUST00078,Female,0,52,1,One year,Electronic check,No,92.83,95.98,4,1,2.0,Yes
CUST00079,Male,0,60,8,Month-to-month,Bank transfer,Fiber optic,81.75,625.12,1,0,1.8,Yes
CUST00080,Male,0,22,63,Month-to-month,Credit card,No,105.11,6562.43,6,0,0.5,No
CUST00081,Male,0,63,11,One year,Electronic check,Fiber optic,99.85,1119.49,6,0,11.8,No
CUST00082,Female,0,52,8,Month-to-month,Credit card,Fiber optic,22.22,159.47,6,2,0.6,Yes
CUST00083,Female,0,53,35,Month-to-month,Credit card,DSL,56.65,1752.54,7,3,2.0,No
CUST00084,Female,0,54,35,Month-to-month,Bank transfer,No,21.54,651.14,3,1,0.6,No
CUST00085,Male,0,40,33,Month-to-month,Credit card,Fiber optic,28.41,965.12,5,0,1.3,No
CUST00086,Female,0,53,5,Month-to-month,Mailed check,Fiber optic,79.34,353.09,1,3,6.5,No
CUST00087,Female,0,21,41,Month-to-month,Mailed check,Fiber optic,107.13,4003.83,3,2,3.1,No
CUST00088,Female,0,19,28,Month-to-month,Electronic check,DSL,30.22,767.6,1,2,0.1,No
CUST00089,Male,0,54,7,Two year,Credit card,DSL,64.01,408.15,5,0,10.2,No
CUST00090,Female,0,52,12,Month-to-month,Electronic check,DSL,110.91,1309.11,6,1,4.6,Yes
CUST00091,Female,0,63,34,Month-to-month,Electronic check,Fiber optic,101.06,3576.31,4,3,18.0,No
CUST00092,Female,0,21,33,Month-to-month,Bank transfer,Fiber optic,71.01,2146.23,4,3,4.3,No
CUST00093,Male,0,65,48,One year,Bank transfer,DSL,96.7,4323.79,4,1,4.3,No
CUST00094,Female,1,73,23,Month-to-month,Mailed check,No,71.31,1647.07,1,1,3.6,No
CUST00095,Female,0,21,62,Two year,Bank transfer,No,34.13,1981.62,5,2,1.7,No
CUST00096,Female,0,23,37,Month-to-month,Electronic check,DSL,30.72,1176.66,2,1,1.1,No
CUST00097,Female,0,68,44,Month-to-month,Electronic check,Fiber optic,37.21,1556.43,2,0,2.2,Yes
CUST00098,Male,0,34,35,Month-to-month,Electronic check,DSL,53.79,1731.19,4,2,0.6,No
CUST00099,Male,0,21,65,Two year,Electronic check,Fiber optic,112.91,7664.38,7,1,3.8,No
CUST00100,Male,0,39,47,Month-to-month,Mailed check,Fiber optic,99.57,4376.34,1,1,17.8,No
CUST00101,Male,0,74,3,Month-to-month,Bank transfer,Fiber optic,62.15,167.1,2,0,2.8,No
CUST00102,Female,0,38,1,Two year,Electronic check,Fiber optic,68.29,60.47,1,0,5.8,No
CUST00103,Male,0,29,5,Month-to-month,Mailed check,Fiber optic,45.09,236.51,5,5,,Yes
CUST00104,Female,0,24,14,Month-to-month,Bank transfer,DSL,89.84,1258.51,7,3,5.2,No
CUST00105,Female,0,65,27,One year,Credit card,Fiber optic,99.88,2512.66,7,1,7.1,No
CUST00106,Male,0,45,9,Month-to-month,Electronic check,No,42.37,387.15,4,2,5.5,Yes
CUST00107,Female,0,63,15,Month-to-month,Bank transfer,Fiber optic,22.27,320.47,3,0,3.0,Yes
CUST00108,Female,0,30,42,Two year,Bank transfer,Fiber optic,81.64,3132.21,4,2,7.8,No
CUST00109,Female,0,60,51,Month-to-month,Mailed check,Fiber optic,75.38,3839.29,3,2,9.8,No
CUST00110,Male,1,60,63,Month-to-month,Electronic check,No,59.02,3715.21,7,1,5.1,No
CUST00111,Male,0,50,52,Month-to-month,Mailed check,Fiber optic,83.68,4133.94,2,1,2.4,No
CUST00112,Male,0,57,4,Month-to-month,Electronic check,Fiber optic,74.16,254.82,7,1,5.4,No
CUST00113,Female,0,30,23,Month-to-month,Electronic check,Fiber optic,43.56,867.03,6,2,1.4,Yes
CUST00114,Male,0,21,15,Two year,Electronic check,Fiber optic,58.57,885.36,3,0,1.3,No
CUST00115,Male,0,73,43,One year,Bank transfer,DSL,61.67,2690.78,6,2,1.3,No
CUST00116,Female,0,42,29,One year,Mailed check,Fiber optic,107.79,3081.08,1,0,0.7,No
CUST00117,Male,1,68,36,Month-to-month,Mailed check,DSL,116.01,4250.76,7,2,2.9,Yes
CUST00118,Female,0,37,13,Two year,Electronic check,Fiber optic,109.09,1409.52,6,2,3.2,No
CUST00119,Male,0,55,32,Month-to-month,Bank transfer,Fiber optic,91.36,3009.43,3,3,5.9,No
CUST00120,Male,0,52,71,Month-to-month,Mailed check,Fiber optic,77.67,4853.26,2,2,3.6,No
CUST00121,Male,0,26,59,Two year,Bank transfer,DSL,88.3,4832.25,2,3,4.5,Yes
CUST00122,Male,0,68,28,One year,Electronic check,No,113.79,3003.94,7,0,3.5,No
CUST00123,Male,0,47,66,Two year,Credit card,DSL,43.5,2611.27,4,2,3.6,No
CUST00124,Female,0,56,42,Month-to-month,Mailed check,DSL,72.58,3033.34,2,2,1.2,No
CUST00125,Female,0,40,45,Month-to-month,Mailed check,DSL,88.34,4104.45,1,3,,Yes
CUST00126,Female,1,28,62,Two year,Credit card,Fiber optic,87.28,5046.07,3,3,3.1,No
CUST00127,Female,0,32,57,One year,Credit card,Fiber optic,43.73,2588.1,5,1,2.7,No
CUST00128,Female,0,64,6,Month-to-month,Electronic check,DSL,77.85,445.31,2,1,5.6,No
CUST00129,Female,0,70,28,One year,Mailed check,Fiber optic,99.18,2650.69,6,4,1.6,No
CUST00130,Male,0,39,28,Month-to-month,Bank transfer,No,66.46,1805.14,3,2,0.3,No
CUST00131,Male,0,34,44,Two year,Credit card,Fiber optic,98.92,3933.19,4,1,0.8,No
CUST00132,Female,0,64,30,Month-to-month,Bank transfer,No,54.71,1520.95,5,2,5.0,No
CUST00133,Female,0,29,62,Two year,Electronic check,No,113.75,6774.97,4,2,3.9,No
CUST00134,Female,0,68,62,Month-to-month,Bank transfer,DSL,72.46,,1,0,0.4,Yes
CUST00135,Female,0,52,1,Two year,Mailed check,Fiber optic,78.79,77.1,4,1,0.2,No
CUST00136,Female,0,51,27,One year,Electronic check,No,21.2,524.68,3,2,2.9,No
CUST00137,Female,0,18,62,Two year,Mailed check,Fiber optic,35.37,1868.59,5,1,8.4,No
CUST00138,Male,0,74,3,One year,Electronic check,Fiber optic,82.56,259.16,7,1,0.6,No
CUST00139,Male,0,49,70,One year,Electronic check,Fiber optic,60.83,4039.22,4,1,2.4,No
CUST00140,Male,0,21,27,Month-to-month,Mailed check,Fiber optic,69.83,1956.49,4,2,5.0,No
CUST00141,Female,0,41,9,Month-to-month,Credit card,DSL,24.42,210.96,7,3,2.3,No
CUST00142,Male,1,24,62,Month-to-month,Credit card,DSL,103.08,6206.22,6,1,1.3,Yes
CUST00143,Male,0,29,37,Month-to-month,Mailed check,DSL,98.02,3599.11,6,2,4.7,No
CUST00144,Female,1,39,51,Month-to-month,Electronic check,Fiber optic,36.91,1720.89,1,3,4.4,Yes
CUST00145,Male,0,66,44,Month-to-month,Electronic check,DSL,82.7,3601.67,7,1,5.3,No
CUST00146,Female,0,52,24,Month-to-month,Bank transfer,DSL,101.47,2326.57,7,0,8.7,Yes
CUST00147,Male,1,38,59,One year,Mailed check,No,83.37,4842.57,3,1,0.5,Yes
CUST00148,Female,0,46,32,Month-to-month,Mailed check,No,49.66,1616.4,4,5,1.3,Yes
CUST00149,Female,0,66,52,Two year,Bank transfer,No,84.92,3916.17,3,1,12.8,No
CUST00150,Female,0,34,62,Month-to-month,Bank transfer,Fiber optic,39.47,2380.36,2,0,2.7,No
CUST00151,Female,0,45,58,Month-to-month,Electronic check,DSL,50.46,2518.18,1,0,3.3,No
CUST00152,Male,0,59,52,Month-to-month,Credit card,Fiber optic,42.49,1923.18,6,0,6.5,No
CUST00153,Male,0,64,12,Month-to-month,Electronic check,DSL,74.81,884.18,7,2,3.5,Yes
CUST00154,Male,0,58,39,Month-to-month,Credit card,DSL,29.04,978.74,1,0,3.4,No
CUST00155,Male,1,34,2,Month-to-month,Mailed check,No,113.2,219.4,1,1,0.3,Yes
CUST00156,Female,0,21,3,Month-to-month,Credit card,DSL,52.02,139.52,3,2,2.1,No
CUST00157,Female,0,73,56,One year,Electronic check,Fiber optic,40.33,2057.06,7,1,3.4,No
CUST00158,Male,0,58,59,Two year,Credit card,DSL,68.65,3547.81,6,1,4.9,No
CUST00159,Female,0,23,2,One year,Electronic check,DSL,46.25,83.23,6,1,1.6,No
CUST00160,Female,0,32,2,Month-to-month,Credit card,Fiber optic,72.56,147.19,4,1,0.4,Yes
CUST00161,Male,0,61,54,Month-to-month,Mailed check,DSL,53.55,2827.43,4,1,1.4,No
CUST00162,Male,0,41,1,One year,Credit card,DSL,31.47,32.73,3,1,1.7,No
CUST00163,Female,0,71,19,Month-to-month,Electronic check,Fiber optic,45.12,737.05,3,1,4.2,No
CUST00164,Female,0,25,2,Month-to-month,Bank transfer,Fiber optic,62.72,126.5,2,1,0.1,Yes
CUST00165,Female,0,72,53,Two year,Bank transfer,No,21.09,1106.39,5,1,1.5,No
CUST00166,Female,0,58,44,One year,Mailed check,DSL,96.61,3835.02,5,2,1.8,No
CUST00167,Male,0,44,32,One year,Credit card,DSL,81.43,2594.9,1,1,2.4,No
CUST00168,Male,0,48,70,Month-to-month,Bank transfer,DSL,79.34,5516.64,4,1,10.5,No
CUST00169,Male,0,26,32,Month-to-month,Electronic check,Fiber optic,73.7,2221.3,6,0,4.0,No
CUST00170,Female,0,35,68,Month-to-month,Credit card,Fiber optic,78.21,5253.01,7,1,0.8,No
CUST00171,Male,0,70,55,Month-to-month,Electronic check,DSL,113.33,5852.41,1,0,3.0,No
CUST00172,Male,0,19,56,Two year,Bank transfer,DSL,18.87,969.13,7,1,1.3,No
CUST00173,Male,0,39,17,One year,Bank transfer,No,22.88,366.91,6,2,5.0,No
CUST00174,Male,0,37,38,Month-to-month,Electronic check,DSL,37.53,1467.53,4,1,0.6,No
CUST00175,Female,0,73,24,One year,Mailed check,Fiber optic,35.06,779.94,4,2,0.5,Yes
CUST00176,Female,0,59,69,Month-to-month,Bank transfer,Fiber optic,36.48,2342.78,2,4,0.3,No
CUST00177,Male,1,21,70,Month-to-month,Electronic check,Fiber optic,86.54,5886.25,3,2,2.4,No
CUST00178,Male,1,55,11,Two year,Electronic check,Fiber optic,64.87,714.0,7,0,0.4,No
CUST00179,Male,1,61,16,Month-to-month,Mailed check,DSL,119.16,1900.7,3,1,0.1,Yes
CUST00180,Female,0,30,59,One year,Electronic check,Fiber optic,41.14,2072.78,3,3,1.2,Yes
CUST00181,Female,1,66,70,Month-to-month,Bank transfer,Fiber optic,49.7,3435.45,5,0,4.8,No
CUST00182,Male,1,37,3,One year,Credit card,DSL,118.39,333.9,3,0,0.5,Yes
CUST00183,Male,0,69,20,Month-to-month,Electronic check,Fiber optic,102.84,1963.87,5,1,1.3,Yes
CUST00184,Male,0,23,59,Month-to-month,Bank transfer,DSL,65.92,3742.78,6,0,1.7,No
CUST00185,Female,0,32,36,Two year,Bank transfer,Fiber optic,74.57,2674.71,1,1,6.3,No
CUST00186,Female,0,25,19,One year,Electronic check,DSL,104.0,2008.14,7,0,1.9,No
CUST00187,Female,1,47,67,Two year,Bank transfer,Fiber optic,67.06,4399.8,5,2,2.2,No
CUST00188,Female,1,53,19,Month-to-month,Bank transfer,Fiber optic,39.01,713.6,4,2,0.9,Yes
CUST00189,Male,0,53,20,Month-to-month,Mailed check,Fiber optic,102.5,1895.75,2,3,3.3,Yes
CUST00190,Male,0,20,71,Month-to-month,Bank transfer,Fiber optic,72.85,4539.13,7,4,0.1,Yes
CUST00191,Female,0,44,52,Month-to-month,Electronic check,DSL,33.61,1820.63,2,1,10.0,No
CUST00192,Male,0,47,33,Two year,Electronic check,DSL,69.57,,4,1,2.1,No
CUST00193,Female,0,46,40,One year,Credit card,DSL,60.15,2317.56,6,3,0.2,No
CUST00194,Female,0,33,39,One year,Bank transfer,Fiber optic,107.44,4191.06,7,0,2.5,No
CUST00195,Male,1,57,1,One year,Mailed check,Fiber optic,30.86,26.65,1,1,2.2,No
CUST00196,Male,0,55,11,Month-to-month,Bank transfer,Fiber optic,107.27,1204.75,2,2,0.8,No
CUST00197,Female,0,37,57,Month-to-month,Bank transfer,DSL,70.25,4041.91,7,1,0.7,No
CUST00198,Female,1,62,50,Month-to-month,Electronic check,Fiber optic,59.25,2976.97,4,1,0.9,No
CUST00199,Female,1,33,23,One year,Mailed check,Fiber optic,34.52,678.36,2,2,0.4,No
CUST00200,Male,0,38,31,Month-to-month,Electronic check,DSL,89.48,2649.9,5,1,2.3,Yes
CUST00201,Female,1,35,42,Two year,Bank transfer,No,112.53,4068.62,6,1,6.3,No
CUST00202,Male,0,58,7,Month-to-month,Bank transfer,DSL,56.29,378.34,2,2,7.7,No
CUST00203,Male,0,73,16,Month-to-month,Bank transfer,Fiber optic,42.64,677.93,6,3,9.2,No
CUST00204,Male,0,48,60,Two year,Credit card,No,74.6,3913.68,6,4,2.8,No
CUST00205,Female,0,19,2,Month-to-month,Electronic check,DSL,99.21,196.23,5,1,2.9,No
CUST00206,Male,0,41,1,Two year,Electronic check,DSL,18.38,17.28,7,1,1.1,No
CUST00207,Male,1,23,48,Month-to-month,Credit card,Fiber optic,82.4,4003.89,6,1,6.5,No
CUST00208,Male,0,63,12,Month-to-month,Bank transfer,Fiber optic,78.84,905.13,5,0,2.0,No
CUST00209,Male,0,34,69,One year,Mailed check,DSL,50.45,3192.9,2,1,1.0,No
CUST00210,Male,0,43,37,Month-to-month,Mailed check,DSL,64.05,2171.73,2,0,10.1,No
CUST00211,Female,1,64,32,One year,Mailed check,DSL,43.19,1422.85,6,3,3.7,No
CUST00212,Male,0,69,9,Two year,Electronic check,Fiber optic,98.57,834.41,5,3,1.9,No
CUST00213,Male,0,54,19,One year,Bank transfer,No,82.72,1463.47,2,2,0.2,No
CUST00214,Female,1,19,48,Month-to-month,Electronic check,No,72.34,2979.16,6,3,0.5,Yes
CUST00215,Female,0,43,3,Two year,Mailed check,No,58.04,160.69,7,1,0.7,No
CUST00216,Female,1,61,20,Two year,Electronic check,Fiber optic,47.72,973.42,1,2,7.0,No
CUST00217,Female,0,54,24,One year,Bank transfer,Fiber optic,101.92,2451.46,3,2,10.7,No
CUST00218,Female,0,18,54,Month-to-month,Credit card,No,64.04,3092.23,7,0,0.9,No
CUST00219,Female,0,19,33,Month-to-month,Electronic check,No,69.15,2128.17,7,3,2.1,No
CUST00220,Female,1,50,24,One year,Electronic check,DSL,71.12,1517.96,3,5,4.7,No
CUST00221,Male,0,28,36,Month-to-month,Mailed check,DSL,63.73,2387.99,4,1,1.5,Yes
CUST00222,Female,0,47,38,Two year,Mailed check,Fiber optic,44.12,1625.63,6,1,2.0,No
CUST00223,Female,0,51,25,One year,Credit card,DSL,30.27,757.41,3,3,6.6,No
CUST00224,Male,0,44,18,Month-to-month,Electronic check,Fiber optic,28.05,501.25,1,3,0.7,No
CUST00225,Female,0,60,66,One year,Mailed check,Fiber optic,95.26,6442.69,6,2,15.3,No
CUST00226,Female,0,51,54,Month-to-month,Credit card,Fiber optic,40.8,2291.03,3,2,1.8,No
CUST00227,Male,0,24,35,Month-to-month,Bank transfer,No,23.68,709.86,3,0,0.9,No
CUST00228,Male,0,56,61,Month-to-month,Electronic check,No,99.35,6333.43,1,2,6.7,No
CUST00229,Male,1,56,41,Two year,Electronic check,DSL,33.71,1415.43,5,1,0.2,No
CUST00230,Female,0,19,33,Month-to-month,Mailed check,DSL,81.76,2500.01,3,1,3.1,No
CUST00231,Female,0,47,68,Two year,Mailed check,DSL,52.54,3634.93,7,0,0.2,No
CUST00232,Male,0,65,33,One year,Electronic check,No,30.9,1016.96,4,0,8.8,No
CUST00233,Female,1,20,14,One year,Mailed check,DSL,60.28,851.2,7,2,3.1,No
CUST00234,Female,0,19,21,Two year,Bank transfer,DSL,19.51,366.34,3,1,1.5,No
CUST00235,Female,1,47,48,Two year,Mailed check,Fiber optic,103.79,4880.85,3,1,1.7,Yes
CUST00236,Male,1,54,20,Month-to-month,Electronic check,Fiber optic,70.38,1203.76,1,0,0.5,No
CUST00237,Female,0,46,8,Two year,Credit card,No,32.19,262.58,1,1,1.3,No
CUST00238,Female,0,52,7,Month-to-month,Electronic check,DSL,42.17,307.06,6,2,7.0,No
CUST00239,Male,0,55,67,Month-to-month,Bank transfer,Fiber optic,63.69,4192.23,4,0,4.9,No
CUST00240,Female,0,39,17,One year,Bank transfer,No,37.26,603.35,2,3,3.2,Yes
CUST00241,Female,0,54,33,Two year,Electronic check,No,45.4,1490.93,1,2,10.3,No
CUST00242,Male,0,35,48,Month-to-month,Mailed check,DSL,72.51,3185.59,2,3,2.6,Yes
CUST00243,Female,0,57,59,Month-to-month,Mailed check,No,102.93,5922.73,4,2,0.6,No
CUST00244,Female,1,62,22,One year,Bank transfer,No,58.99,1289.73,3,1,3.8,Yes
CUST00245,Female,0,71,30,One year,Mailed check,DSL,91.13,2401.83,6,1,2.7,No
CUST00246,Male,0,51,38,Month-to-month,Electronic check,DSL,107.42,3584.02,3,1,1.7,No
CUST00247,Female,0,62,51,One year,Credit card,No,40.06,2029.22,7,2,0.5,No
CUST00248,Female,0,66,54,Month-to-month,Mailed check,Fiber optic,100.33,5073.01,6,2,3.4,No
CUST00249,Female,1,55,8,One year,Mailed check,DSL,95.26,783.3,2,1,1.8,No
CUST00250,Female,0,47,27,Month-to-month,Credit card,No,54.41,1340.36,7,3,2.6,No
CUST00251,Male,0,19,27,Month-to-month,Mailed check,No,118.93,2756.69,4,1,1.1,No
CUST00252,Male,0,37,21,Month-to-month,Electronic check,Fiber optic,44.78,921.55,4,2,0.5,Yes
CUST00253,Male,0,61,30,One year,Credit card,Fiber optic,43.99,1302.34,1,0,,No
CUST00254,Male,0,33,28,Two year,Credit card,Fiber optic,96.77,2603.12,2,1,5.7,No
CUST00255,Male,0,21,64,Month-to-month,Bank transfer,Fiber optic,62.34,3936.56,6,2,0.5,Yes
CUST00256,Male,0,65,69,Month-to-month,Mailed check,Fiber optic,51.74,3408.52,1,1,1.9,Yes
CUST00257,Male,0,30,61,One year,Bank transfer,Fiber optic,36.22,2184.07,2,0,1.1,No
CUST00258,Female,0,31,48,Month-to-month,Mailed check,DSL,96.06,3959.77,7,4,9.8,Yes
CUST00259,Male,0,26,19,Two year,Bank transfer,Fiber optic,98.2,1723.4,1,3,0.3,No
CUST00260,Male,0,61,4,Month-to-month,Electronic check,DSL,75.79,270.47,1,1,0.8,Yes
CUST00261,Female,0,31,35,Two year,Mailed check,DSL,115.65,3521.0,4,2,1.8,No
CUST00262,Male,0,28,64,One year,Bank transfer,DSL,50.45,2895.65,4,1,0.9,No
CUST00263,Female,0,27,49,One year,Bank transfer,Fiber optic,40.4,1758.4,3,2,3.7,No
CUST00264,Male,0,47,17,Month-to-month,Electronic check,No,87.1,1546.78,3,1,1.4,No
CUST00265,Female,0,24,44,Month-to-month,Bank transfer,No,95.36,3806.92,4,3,4.6,Yes
CUST00266,Female,0,74,30,Month-to-month,Electronic check,No,40.94,1100.7,4,2,2.4,No
CUST00267,Male,0,23,46,One year,Bank transfer,DSL,25.81,1207.41,7,2,1.7,No
CUST00268,Female,1,34,6,Month-to-month,Credit card,No,100.67,564.05,1,3,1.4,No
CUST00269,Male,0,30,37,One year,Credit card,Fiber optic,117.6,4065.3,3,0,0.8,Yes
CUST00270,Male,0,64,24,Two year,Bank transfer,No,83.76,1887.05,4,0,0.9,No
CUST00271,Female,0,73,46,Month-to-month,Bank transfer,DSL,46.34,1989.47,2,1,0.6,No
CUST00272,Male,0,21,53,Month-to-month,Electronic check,DSL,119.66,5804.9,2,2,5.7,No
CUST00273,Male,0,43,60,Month-to-month,Mailed check,DSL,109.11,5939.52,3,1,2.4,No
CUST00274,Male,0,49,63,Two year,Electronic check,No,70.36,4549.67,2,0,2.0,No
CUST00275,Male,0,73,32,Two year,Credit card,Fiber optic,102.18,2885.04,6,4,1.2,Yes
