customer_id,risk_segment,churn,churn_binary,contract_type,monthly_charges,tenure_months,support_tickets,sessions_per_week
CUST00041,Low Risk,No,0,One year,62.1,53,1,1.5
CUST00042,High Risk,No,0,Two year,119.15,2,0,0.9
CUST00043,High Risk,No,0,Month-to-month,112.61,60,1,2.1
CUST00044,High Risk,No,0,Month-to-month,49.39,71,3,
CUST00045,Low Risk,No,0,One year,29.38,44,1,7.0
CUST00046,Medium Risk,No,0,Two year,103.66,8,1,1.0
CUST00047,High Risk,No,0,Month-to-month,119.71,47,0,0.7
CUST00048,Low Risk,No,0,Two year,47.85,35,0,1.9
CUST00049,Medium Risk,No,0,Two year,54.49,36,0,0.5
CUST00050,High Risk,Yes,1,Month-to-month,114.05,50,0,4.3
CUST00051,Critical Risk,No,0,Month-to-month,90.54,4,1,0.1
CUST00052,Critical Risk,No,0,Month-to-month,48.16,2,2,0.8
CUST00053,Critical Risk,No,0,Month-to-month,77.27,6,2,0.1
CUST00054,Critical Risk,No,0,Month-to-month,114.31,54,3,0.8
CUST00055,High Risk,No,0,One year,100.8,4,2,0.2
CUST00056,Low Risk,No,0,One year,93.67,54,2,3.4
CUST00057,High Risk,No,0,Month-to-month,93.17,63,0,2.5
CUST00058,High Risk,No,0,Month-to-month,36.16,18,2,0.7
CUST00059,High Risk,Yes,1,One year,102.12,44,3,0.7
CUST00060,High Risk,No,0,Month-to-month,46.16,34,2,1.0
CUST00061,High Risk,Yes,1,Month-to-month,112.9,62,0,4.8
CUST00062,Critical Risk,No,0,Month-to-month,55.19,14,3,0.5
CUST00063,Medium Risk,Yes,1,Two year,105.48,48,0,0.4
CUST00064,Medium Risk,No,0,One year,45.16,15,4,2.1
CUST00065,Low Risk,No,0,One year,70.48,62,0,6.0
CUST00066,Medium Risk,No,0,One year,28.9,40,1,0.8
CUST00067,High Risk,No,0,Month-to-month,85.33,53,0,0.3
CUST00068,High Risk,No,0,Month-to-month,103.28,24,1,2.0
CUST00069,High Risk,No,0,Month-to-month,91.28,26,1,4.0
CUST00070,Medium Risk,No,0,Month-to-month,71.37,60,1,2.9
CUST00071,Low Risk,No,0,One year,22.6,41,1,1.6
CUST00072,High Risk,Yes,1,Month-to-month,113.21,29,0,0.1
CUST00073,High Risk,No,0,Two year,89.96,15,3,1.1
CUST00074,High Risk,No,0,Month-to-month,94.08,45,2,7.5
CUST00075,Medium Risk,No,0,One year,99.06,65,1,0.8
CUST00076,High Risk,No,0,Month-to-month,94.27,71,2,2.9
CUST00077,Medium Risk,No,0,Month-to-month,62.99,9,1,7.1
CUST00078,Medium Risk,Yes,1,One year,92.83,1,1,2.0
CUST00079,High Risk,Yes,1,Month-to-month,81.75,8,0,1.8
CUST00080,High Risk,No,0,Month-to-month,105.11,63,0,0.5
CUST00081,Low Risk,No,0,One year,99.85,11,0,11.8
CUST00082,High Risk,Yes,1,Month-to-month,22.22,8,2,0.6
CUST00083,High Risk,No,0,Month-to-month,56.65,35,3,2.0
CUST00084,High Risk,No,0,Month-to-month,21.54,35,1,0.6
CUST00085,High Risk,No,0,Month-to-month,28.41,33,0,1.3
CUST00086,Critical Risk,No,0,Month-to-month,79.34,5,3,6.5
CUST00087,High Risk,No,0,Month-to-month,107.13,41,2,3.1
CUST00088,High Risk,No,0,Month-to-month,30.22,28,2,0.1
CUST00089,Low Risk,No,0,Two year,64.01,7,0,10.2
CUST00090,High Risk,Yes,1,Month-to-month,110.91,12,1,4.6
CUST00091,Critical Risk,No,0,Month-to-month,101.06,34,3,18.0
CUST00092,High Risk,No,0,Month-to-month,71.01,33,3,4.3
CUST00093,Low Risk,No,0,One year,96.7,48,1,4.3
CUST00094,Medium Risk,No,0,Month-to-month,71.31,23,1,3.6
CUST00095,Low Risk,No,0,Two year,34.13,62,2,1.7
CUST00096,High Risk,No,0,Month-to-month,30.72,37,1,1.1
CUST00097,Medium Risk,Yes,1,Month-to-month,37.21,44,0,2.2
CUST00098,High Risk,No,0,Month-to-month,53.79,35,2,0.6
CUST00099,Low Risk,No,0,Two year,112.91,65,1,3.8
CUST00100,High Risk,No,0,Month-to-month,99.57,47,1,17.8
CUST00101,High Risk,No,0,Month-to-month,62.15,3,0,2.8
CUST00102,Medium Risk,No,0,Two year,68.29,1,0,5.8
CUST00103,Critical Risk,Yes,1,Month-to-month,45.09,5,5,
CUST00104,Critical Risk,No,0,Month-to-month,89.84,14,3,5.2
CUST00105,Low Risk,No,0,One year,99.88,27,1,7.1
CUST00106,Medium Risk,Yes,1,Month-to-month,42.37,9,2,5.5
CUST00107,Medium Risk,Yes,1,Month-to-month,22.27,15,0,3.0
CUST00108,Low Risk,No,0,Two year,81.64,42,2,7.8
CUST00109,Medium Risk,No,0,Month-to-month,75.38,51,2,9.8
CUST00110,Medium Risk,No,0,Month-to-month,59.02,63,1,5.1
CUST00111,High Risk,No,0,Month-to-month,83.68,52,1,2.4
CUST00112,High Risk,No,0,Month-to-month,74.16,4,1,5.4
CUST00113,High Risk,Yes,1,Month-to-month,43.56,23,2,1.4
CUST00114,Medium Risk,No,0,Two year,58.57,15,0,1.3
CUST00115,Medium Risk,No,0,One year,61.67,43,2,1.3
CUST00116,Medium Risk,No,0,One year,107.79,29,0,0.7
CUST00117,High Risk,Yes,1,Month-to-month,116.01,36,2,2.9
CUST00118,Low Risk,No,0,Two year,109.09,13,2,3.2
CUST00119,Critical Risk,No,0,Month-to-month,91.36,32,3,5.9
CUST00120,Medium Risk,No,0,Month-to-month,77.67,71,2,3.6
CUST00121,High Risk,Yes,1,Two year,88.3,59,3,4.5
CUST00122,Low Risk,No,0,One year,113.79,28,0,3.5
CUST00123,Low Risk,No,0,Two year,43.5,66,2,3.6
CUST00124,High Risk,No,0,Month-to-month,72.58,42,2,1.2
CUST00125,Critical Risk,Yes,1,Month-to-month,88.34,45,3,
CUST00126,High Risk,No,0,Two year,87.28,62,3,3.1
CUST00127,Low Risk,No,0,One year,43.73,57,1,2.7
CUST00128,High Risk,No,0,Month-to-month,77.85,6,1,5.6
CUST00129,High Risk,No,0,One year,99.18,28,4,1.6
CUST00130,High Risk,No,0,Month-to-month,66.46,28,2,0.3
CUST00131,Medium Risk,No,0,Two year,98.92,44,1,0.8
CUST00132,Medium Risk,No,0,Month-to-month,54.71,30,2,5.0
CUST00133,Low Risk,No,0,Two year,113.75,62,2,3.9
CUST00134,High Risk,Yes,1,Month-to-month,72.46,62,0,0.4
CUST00135,High Risk,No,0,Two year,78.79,1,1,0.2
CUST00136,Low Risk,No,0,One year,21.2,27,2,2.9
CUST00137,Low Risk,No,0,Two year,35.37,62,1,8.4
CUST00138,High Risk,No,0,One year,82.56,3,1,0.6
CUST00139,Low Risk,No,0,One year,60.83,70,1,2.4
CUST00140,Medium Risk,No,0,Month-to-month,69.83,27,2,5.0
CUST00141,High Risk,No,0,Month-to-month,24.42,9,3,2.3
CUST00142,High Risk,Yes,1,Month-to-month,103.08,62,1,1.3
CUST00143,High Risk,No,0,Month-to-month,98.02,37,2,4.7
CUST00144,High Risk,Yes,1,Month-to-month,36.91,51,3,4.4
CUST00145,High Risk,No,0,Month-to-month,82.7,44,1,5.3
CUST00146,High Risk,Yes,1,Month-to-month,101.47,24,0,8.7
CUST00147,Medium Risk,Yes,1,One year,83.37,59,1,0.5
CUST00148,Critical Risk,Yes,1,Month-to-month,49.66,32,5,1.3
CUST00149,Low Risk,No,0,Two year,84.92,52,1,12.8
CUST00150,Medium Risk,No,0,Month-to-month,39.47,62,0,2.7
CUST00151,Medium Risk,No,0,Month-to-month,50.46,58,0,3.3
CUST00152,Medium Risk,No,0,Month-to-month,42.49,52,0,6.5
CUST00153,Medium Risk,Yes,1,Month-to-month,74.81,12,2,3.5
CUST00154,Medium Risk,No,0,Month-to-month,29.04,39,0,3.4
CUST00155,Critical Risk,Yes,1,Month-to-month,113.2,2,1,0.3
CUST00156,High Risk,No,0,Month-to-month,52.02,3,2,2.1
CUST00157,Low Risk,No,0,One year,40.33,56,1,3.4
CUST00158,Low Risk,No,0,Two year,68.65,59,1,4.9
CUST00159,Medium Risk,No,0,One year,46.25,2,1,1.6
CUST00160,Critical Risk,Yes,1,Month-to-month,72.56,2,1,0.4
CUST00161,High Risk,No,0,Month-to-month,53.55,54,1,1.4
CUST00162,Medium Risk,No,0,One year,31.47,1,1,1.7
CUST00163,Medium Risk,No,0,Month-to-month,45.12,19,1,4.2
CUST00164,Critical Risk,Yes,1,Month-to-month,62.72,2,1,0.1
CUST00165,Low Risk,No,0,Two year,21.09,53,1,1.5
CUST00166,Low Risk,No,0,One year,96.61,44,2,1.8
CUST00167,Low Risk,No,0,One year,81.43,32,1,2.4
CUST00168,Medium Risk,No,0,Month-to-month,79.34,70,1,10.5
CUST00169,Medium Risk,No,0,Month-to-month,73.7,32,0,4.0
CUST00170,High Risk,No,0,Month-to-month,78.21,68,1,0.8
CUST00171,High Risk,No,0,Month-to-month,113.33,55,0,3.0
CUST00172,Medium Risk,No,0,Two year,18.87,56,1,1.3
CUST00173,Low Risk,No,0,One year,22.88,17,2,5.0
CUST00174,High Risk,No,0,Month-to-month,37.53,38,1,0.6
CUST00175,Medium Risk,Yes,1,One year,35.06,24,2,0.5
CUST00176,Critical Risk,No,0,Month-to-month,36.48,69,4,0.3
CUST00177,High Risk,No,0,Month-to-month,86.54,70,2,2.4
CUST00178,Medium Risk,No,0,Two year,64.87,11,0,0.4
CUST00179,High Risk,Yes,1,Month-to-month,119.16,16,1,0.1
CUST00180,High Risk,Yes,1,One year,41.14,59,3,1.2
CUST00181,Medium Risk,No,0,Month-to-month,49.7,70,0,4.8
CUST00182,High Risk,Yes,1,One year,118.39,3,0,0.5
CUST00183,High Risk,Yes,1,Month-to-month,102.84,20,1,1.3
CUST00184,Medium Risk,No,0,Month-to-month,65.92,59,0,1.7
CUST00185,Low Risk,No,0,Two year,74.57,36,1,6.3
CUST00186,Low Risk,No,0,One year,104.0,19,0,1.9
CUST00187,Low Risk,No,0,Two year,67.06,67,2,2.2
CUST00188,High Risk,Yes,1,Month-to-month,39.01,19,2,0.9
CUST00189,Critical Risk,Yes,1,Month-to-month,102.5,20,3,3.3
CUST00190,Critical Risk,Yes,1,Month-to-month,72.85,71,4,0.1
CUST00191,Medium Risk,No,0,Month-to-month,33.61,52,1,10.0
CUST00192,Low Risk,No,0,Two year,69.57,33,1,2.1
CUST00193,High Risk,No,0,One year,60.15,40,3,0.2
CUST00194,Low Risk,No,0,One year,107.44,39,0,2.5
CUST00195,Medium Risk,No,0,One year,30.86,1,1,2.2
CUST00196,High Risk,No,0,Month-to-month,107.27,11,2,0.8
CUST00197,High Risk,No,0,Month-to-month,70.25,57,1,0.7
CUST00198,High Risk,No,0,Month-to-month,59.25,50,1,0.9
CUST00199,Medium Risk,No,0,One year,34.52,23,2,0.4
CUST00200,High Risk,Yes,1,Month-to-month,89.48,31,1,2.3
CUST00201,Low Risk,No,0,Two year,112.53,42,1,6.3
CUST00202,Medium Risk,No,0,Month-to-month,56.29,7,2,7.7
CUST00203,High Risk,No,0,Month-to-month,42.64,16,3,9.2
CUST00204,Medium Risk,No,0,Two year,74.6,60,4,2.8
CUST00205,High Risk,No,0,Month-to-month,99.21,2,1,2.9
CUST00206,High Risk,No,0,Two year,18.38,1,1,1.1
CUST00207,High Risk,No,0,Month-to-month,82.4,48,1,6.5
CUST00208,Medium Risk,No,0,Month-to-month,78.84,12,0,2.0
CUST00209,Medium Risk,No,0,One year,50.45,69,1,1.0
CUST00210,Medium Risk,No,0,Month-to-month,64.05,37,0,10.1
CUST00211,Medium Risk,No,0,One year,43.19,32,3,3.7
CUST00212,High Risk,No,0,Two year,98.57,9,3,1.9
CUST00213,Medium Risk,No,0,One year,82.72,19,2,0.2
CUST00214,Critical Risk,Yes,1,Month-to-month,72.34,48,3,0.5
CUST00215,High Risk,No,0,Two year,58.04,3,1,0.7
CUST00216,Low Risk,No,0,Two year,47.72,20,2,7.0
CUST00217,Low Risk,No,0,One year,101.92,24,2,10.7
CUST00218,High Risk,No,0,Month-to-month,64.04,54,0,0.9
CUST00219,High Risk,No,0,Month-to-month,69.15,33,3,2.1
CUST00220,Medium Risk,No,0,One year,71.12,24,5,4.7
CUST00221,Medium Risk,Yes,1,Month-to-month,63.73,36,1,1.5
CUST00222,Low Risk,No,0,Two year,44.12,38,1,2.0
CUST00223,Medium Risk,No,0,One year,30.27,25,3,6.6
CUST00224,Critical Risk,No,0,Month-to-month,28.05,18,3,0.7
CUST00225,Low Risk,No,0,One year,95.26,66,2,15.3
CUST00226,Medium Risk,No,0,Month-to-month,40.8,54,2,1.8
CUST00227,High Risk,No,0,Month-to-month,23.68,35,0,0.9
CUST00228,High Risk,No,0,Month-to-month,99.35,61,2,6.7
CUST00229,Medium Risk,No,0,Two year,33.71,41,1,0.2
CUST00230,High Risk,No,0,Month-to-month,81.76,33,1,3.1
CUST00231,Medium Risk,No,0,Two year,52.54,68,0,0.2
CUST00232,Low Risk,No,0,One year,30.9,33,0,8.8
CUST00233,Low Risk,No,0,One year,60.28,14,2,3.1
CUST00234,Low Risk,No,0,Two year,19.51,21,1,1.5
CUST00235,Low Risk,Yes,1,Two year,103.79,48,1,1.7
CUST00236,High Risk,No,0,Month-to-month,70.38,20,0,0.5
CUST00237,Medium Risk,No,0,Two year,32.19,8,1,1.3
CUST00238,Medium Risk,No,0,Month-to-month,42.17,7,2,7.0
CUST00239,Medium Risk,No,0,Month-to-month,63.69,67,0,4.9
CUST00240,Medium Risk,Yes,1,One year,37.26,17,3,3.2
CUST00241,Low Risk,No,0,Two year,45.4,33,2,10.3
CUST00242,High Risk,Yes,1,Month-to-month,72.51,48,3,2.6
CUST00243,High Risk,No,0,Month-to-month,102.93,59,2,0.6
CUST00244,Low Risk,Yes,1,One year,58.99,22,1,3.8
CUST00245,Low Risk,No,0,One year,91.13,30,1,2.7
CUST00246,High Risk,No,0,Month-to-month,107.42,38,1,1.7
CUST00247,Medium Risk,No,0,One year,40.06,51,2,0.5
CUST00248,High Risk,No,0,Month-to-month,100.33,54,2,3.4
CUST00249,Low Risk,No,0,One year,95.26,8,1,1.8
CUST00250,High Risk,No,0,Month-to-month,54.41,27,3,2.6
CUST00251,High Risk,No,0,Month-to-month,118.93,27,1,1.1
CUST00252,High Risk,Yes,1,Month-to-month,44.78,21,2,0.5
CUST00253,Low Risk,No,0,One year,43.99,30,0,
CUST00254,Low Risk,No,0,Two year,96.77,28,1,5.7
CUST00255,High Risk,Yes,1,Month-to-month,62.34,64,2,0.5
CUST00256,Medium Risk,Yes,1,Month-to-month,51.74,69,1,1.9
CUST00257,Medium Risk,No,0,One year,36.22,61,0,1.1
CUST00258,Critical Risk,Yes,1,Month-to-month,96.06,48,4,9.8
CUST00259,High Risk,No,0,Two year,98.2,19,3,0.3
CUST00260,Critical Risk,Yes,1,Month-to-month,75.79,4,1,0.8
CUST00261,Low Risk,No,0,Two year,115.65,35,2,1.8
CUST00262,Medium Risk,No,0,One year,50.45,64,1,0.9
CUST00263,Low Risk,No,0,One year,40.4,49,2,3.7
CUST00264,High Risk,No,0,Month-to-month,87.1,17,1,1.4
CUST00265,Critical Risk,Yes,1,Month-to-month,95.36,44,3,4.6
CUST00266,Medium Risk,No,0,Month-to-month,40.94,30,2,2.4
CUST00267,Low Risk,No,0,One year,25.81,46,2,1.7
CUST00268,Critical Risk,No,0,Month-to-month,100.67,6,3,1.4
CUST00269,Medium Risk,Yes,1,One year,117.6,37,0,0.8
CUST00270,Medium Risk,No,0,Two year,83.76,24,0,0.9
CUST00271,High Risk,No,0,Month-to-month,46.34,46,1,0.6
CUST00272,High Risk,No,0,Month-to-month,119.66,53,2,5.7
CUST00273,High Risk,No,0,Month-to-month,109.11,60,1,2.4
CUST00274,Low Risk,No,0,Two year,70.36,63,0,2.0
CUST00275,High Risk,Yes,1,Two year,102.18,32,4,1.2
CUST00276,High Risk,No,0,Month-to-month,101.21,33,2,2.2
CUST00277,High Risk,No,0,Month-to-month,113.35,67,1,6.4
CUST00278,High Risk,Yes,1,Month-to-month,103.77,18,2,5.8
CUST00279,High Risk,No,0,One year,83.66,25,3,2.7
CUST00280,Low Risk,No,0,One year,80.15,54,1,2.3
CUST00281,Medium Risk,No,0,One year,65.67,58,1,0.8
CUST00282,High Risk,Yes,1,Month-to-month,81.9,67,0,3.5
CUST00283,High Risk,No,0,Month-to-month,99.11,46,1,5.8
CUST00284,Critical Risk,Yes,1,Month-to-month,116.84,24,3,1.1
CUST00285,Medium Risk,No,0,One year,65.66,32,3,1.7
CUST00286,High Risk,No,0,Month-to-month,76.51,47,0,0.3
CUST00287,High Risk,No,0,Month-to-month,63.37,23,3,5.9
CUST00288,High Risk,Yes,1,Month-to-month,86.19,66,2,0.3
CUST00289,Critical Risk,Yes,1,Month-to-month,82.25,27,3,3.7
CUST00290,Critical Risk,Yes,1,Month-to-month,19.82,2,1,0.6
CUST00291,Medium Risk,No,0,Month-to-month,73.2,17,1,4.0
CUST00292,Low Risk,No,0,Two year,27.03,33,2,3.1
CUST00293,Medium Risk,No,0,Month-to-month,20.69,9,2,3.5
CUST00294,High Risk,No,0,Month-to-month,98.7,43,1,3.0
CUST00295,Medium Risk,No,0,One year,44.38,48,4,1.5
CUST00296,Low Risk,No,0,Two year,52.75,39,1,2.9
CUST00297,Medium Risk,No,0,Two year,24.54,42,2,0.8
CUST00298,High Risk,No,0,Month-to-month,36.31,26,2,1.0
CUST00299,Critical Risk,No,0,Month-to-month,96.09,50,3,0.2
CUST00300,Medium Risk,No,0,Month-to-month,68.34,25,2,2.8
CUST00301,High Risk,Yes,1,Month-to-month,107.83,24,0,5.5
CUST00302,High Risk,Yes,1,One year,58.52,13,3,1.4
CUST00303,High Risk,No,0,Month-to-month,45.41,60,1,0.7
CUST00304,Low Risk,No,0,Two year,53.46,7,2,5.2
CUST00305,Critical Risk,Yes,1,Month-to-month,90.7,57,3,3.1
CUST00306,High Risk,No,0,Month-to-month,74.61,36,3,6.7
CUST00307,High Risk,No,0,One year,110.23,45,4,0.1
CUST00308,Medium Risk,No,0,Month-to-month,79.42,20,1,1.5
CUST00309,Low Risk,No,0,Two year,68.29,65,2,6.9
CUST00310,Critical Risk,Yes,1,Month-to-month,98.15,8,4,3.4
CUST00311,Critical Risk,Yes,1,Month-to-month,114.65,16,4,1.9
CUST00312,Medium Risk,Yes,1,Month-to-month,54.3,14,2,1.6
CUST00313,Low Risk,No,0,Two year,43.49,15,0,6.8
CUST00314,Low Risk,No,0,Two year,80.85,66,1,5.3
CUST00315,Medium Risk,No,0,Two year,68.89,32,1,0.1
CUST00316,Medium Risk,No,0,Two year,118.9,63,1,0.4
CUST00317,High Risk,No,0,Month-to-month,65.16,51,3,2.2
CUST00318,Medium Risk,No,0,One year,25.58,25,2,0.4
CUST00319,Medium Risk,No,0,One year,117.69,58,2,1.0
CUST00320,Low Risk,No,0,Two year,104.05,63,2,5.4
CUST00321,Medium Risk,Yes,1,Month-to-month,36.18,62,2,1.5
CUST00322,High Risk,Yes,1,Month-to-month,110.27,22,0,1.8
CUST00323,High Risk,No,0,Month-to-month,52.75,58,0,0.6
CUST00324,Low Risk,No,0,One year,56.47,58,2,2.8
CUST00325,Medium Risk,No,0,One year,110.45,49,1,0.4
CUST00326,Low Risk,No,0,One year,72.07,52,1,3.0
CUST00327,Low Risk,No,0,One year,32.05,42,1,4.1
CUST00328,Low Risk,No,0,Two year,55.64,70,2,6.2
CUST00329,Low Risk,No,0,Two year,91.65,15,1,2.6
CUST00330,High Risk,Yes,1,Month-to-month,35.77,54,1,1.2
CUST00331,Low Risk,No,0,One year,78.2,60,0,5.7
CUST00332,High Risk,Yes,1,Month-to-month,88.92,8,1,2.7
CUST00333,High Risk,No,0,Month-to-month,53.07,53,2,1.3
CUST00334,High Risk,No,0,Month-to-month,88.78,60,0,1.2
CUST00335,Critical Risk,No,0,Month-to-month,108.19,5,1,1.2
CUST00336,High Risk,No,0,Month-to-month,66.16,68,0,0.2
CUST00337,Critical Risk,No,0,Month-to-month,57.06,6,0,0.3
CUST00338,High Risk,Yes,1,Month-to-month,43.62,47,0,0.3
CUST00339,High Risk,Yes,1,One year,79.63,55,3,1.1
CUST00340,Low Risk,Yes,1,Two year,107.74,40,2,1.9
CUST00341,Critical Risk,Yes,1,Month-to-month,51.12,52,4,0.5
CUST00342,Medium Risk,No,0,Month-to-month,58.42,16,2,5.3
CUST00343,Critical Risk,No,0,Month-to-month,59.48,13,3,0.2
CUST00344,Low Risk,No,0,One year,75.2,30,1,8.7
CUST00345,Medium Risk,No,0,Two year,41.3,19,2,0.2
CUST00346,High Risk,No,0,Month-to-month,101.87,17,2,6.8
CUST00347,Medium Risk,No,0,One year,48.15,63,0,0.9
CUST00348,High Risk,No,0,Month-to-month,89.95,19,2,13.0
CUST00349,Medium Risk,No,0,Month-to-month,70.35,58,2,2.2
CUST00350,Medium Risk,No,0,One year,77.76,55,1,0.1
CUST00351,Medium Risk,No,0,One year,36.32,62,2,1.0
CUST00352,Low Risk,No,0,One year,92.97,23,2,8.4
CUST00353,High Risk,Yes,1,Month-to-month,37.24,9,1,1.1
CUST00354,Medium Risk,No,0,One year,29.57,12,2,1.3
CUST00355,Critical Risk,No,0,Month-to-month,73.76,1,1,0.1
CUST00356,High Risk,No,0,Month-to-month,90.35,58,0,0.9
CUST00357,Critical Risk,No,0,Month-to-month,23.1,1,3,0.9
CUST00358,Medium Risk,No,0,Month-to-month,25.08,34,2,3.8
CUST00359,Low Risk,No,0,One year,99.87,48,1,2.1
CUST00360,Critical Risk,Yes,1,Month-to-month,100.52,1,1,0.5
CUST00361,Low Risk,No,0,One year,43.02,16,2,4.8
CUST00362,Low Risk,No,0,One year,80.75,61,0,2.8
CUST00363,Critical Risk,Yes,1,Month-to-month,63.2,64,3,0.9
CUST00364,High Risk,Yes,1,Month-to-month,82.53,63,1,0.8
CUST00365,Low Risk,No,0,One year,106.01,69,1,7.8
CUST00366,Medium Risk,No,0,Month-to-month,26.15,22,1,3.0
CUST00367,High Risk,No,0,Month-to-month,97.35,67,1,4.9
CUST00368,High Risk,No,0,Month-to-month,68.29,26,1,0.8
CUST00369,Low Risk,No,0,Two year,75.54,16,1,2.7
CUST00370,High Risk,No,0,Month-to-month,84.7,51,1,0.2
CUST00371,High Risk,No,0,Month-to-month,112.11,57,0,2.7
CUST00372,Medium Risk,No,0,One year,23.79,29,1,0.7
CUST00373,Medium Risk,No,0,Month-to-month,21.01,69,1,3.3
CUST00374,Medium Risk,Yes,1,Month-to-month,36.18,47,1,8.1
CUST00375,High Risk,No,0,Two year,118.62,62,4,1.8
CUST00376,Medium Risk,No,0,Two year,90.94,69,2,1.1
CUST00377,High Risk,No,0,One year,80.69,16,3,0.4
CUST00378,High Risk,No,0,Month-to-month,22.8,48,3,3.3
CUST00379,High Risk,No,0,Month-to-month,107.67,39,2,2.6
CUST00380,Low Risk,No,0,One year,100.9,33,0,2.4
CUST00381,High Risk,No,0,Month-to-month,85.81,23,0,8.2
CUST00382,Medium Risk,Yes,1,Month-to-month,52.59,10,2,11.5
CUST00383,Medium Risk,Yes,1,Month-to-month,25.19,69,0,3.8
CUST00384,Medium Risk,Yes,1,One year,77.16,34,1,0.7
CUST00385,Low Risk,No,0,One year,91.41,52,1,8.8
CUST00386,High Risk,Yes,1,Month-to-month,27.61,10,1,1.3
CUST00387,High Risk,Yes,1,Month-to-month,82.64,19,0,0.2
CUST00388,High Risk,No,0,Month-to-month,47.21,58,1,0.8
CUST00389,High Risk,Yes,1,Month-to-month,95.95,1,2,5.3
CUST00390,Medium Risk,No,0,Two year,73.04,69,1,0.7
CUST00391,High Risk,No,0,Month-to-month,31.16,4,2,1.5
CUST00392,High Risk,Yes,1,One year,71.7,16,3,1.0
CUST00393,High Risk,No,0,Month-to-month,58.37,24,2,0.1
CUST00394,High Risk,Yes,1,One year,36.4,2,4,2.5
CUST00395,High Risk,No,0,Month-to-month,103.83,32,1,3.0
CUST00396,Medium Risk,Yes,1,Month-to-month,19.12,24,2,4.7
CUST00397,Low Risk,No,0,Two year,49.84,12,1,1.6
CUST00398,High Risk,No,0,Month-to-month,19.28,50,1,0.5
CUST00399,Medium Risk,Yes,1,Month-to-month,27.79,35,2,3.2
CUST00400,Medium Risk,No,0,Month-to-month,48.3,33,0,6.6
CUST00401,High Risk,No,0,Month-to-month,23.54,33,1,0.4
CUST00402,High Risk,No,0,One year,78.86,61,4,0.6
CUST00403,Medium Risk,No,0,Two year,26.86,51,1,1.2
CUST00404,Critical Risk,No,0,Month-to-month,89.57,43,5,3.2
CUST00405,Low Risk,No,0,One year,23.37,12,0,2.2
CUST00406,Medium Risk,No,0,Month-to-month,24.05,67,2,3.7
CUST00407,Critical Risk,Yes,1,Month-to-month,49.14,65,3,0.1
CUST00408,Low Risk,No,0,Two year,109.45,33,0,5.0
CUST00409,High Risk,Yes,1,Month-to-month,83.42,40,2,13.1
