customer_id,gender,senior_citizen,age,tenure_months,contract_type,payment_method,internet_service,monthly_charges,total_charges,num_services,support_tickets,sessions_per_week,churn,churn_binary,risk_segment
CUST00042,Male,1,19,2,Two year,Credit card,DSL,119.15,247.92,7,0,0.9,No,0,High Risk
CUST00043,Female,0,56,60,Month-to-month,Bank transfer,Fiber optic,112.61,5753.46,2,1,2.1,No,0,High Risk
CUST00044,Male,0,29,71,Month-to-month,Bank transfer,DSL,49.39,3500.44,7,3,,No,0,High Risk
CUST00047,Female,0,69,47,Month-to-month,Electronic check,DSL,119.71,5885.87,1,0,0.7,No,0,High Risk
CUST00050,Female,0,49,50,Month-to-month,Electronic check,Fiber optic,114.05,5685.34,3,0,4.3,Yes,1,High Risk
CUST00051,Female,0,42,4,Month-to-month,Credit card,Fiber optic,90.54,326.19,2,1,0.1,No,0,Critical Risk
CUST00052,Male,0,68,2,Month-to-month,Credit card,DSL,48.16,86.21,3,2,0.8,No,0,Critical Risk
CUST00053,Male,0,55,6,Month-to-month,Mailed check,DSL,77.27,399.67,5,2,0.1,No,0,Critical Risk
CUST00054,Female,0,22,54,Month-to-month,Credit card,DSL,114.31,5362.78,1,3,0.8,No,0,Critical Risk
CUST00055,Male,0,54,4,One year,Electronic check,No,100.8,395.68,2,2,0.2,No,0,High Risk
CUST00057,Male,0,27,63,Month-to-month,Mailed check,DSL,93.17,5024.56,2,0,2.5,No,0,High Risk
CUST00058,Male,0,70,18,Month-to-month,Credit card,DSL,36.16,679.47,1,2,0.7,No,0,High Risk
CUST00059,Male,0,36,44,One year,Electronic check,DSL,102.12,4408.85,7,3,0.7,Yes,1,High Risk
CUST00060,Female,0,51,34,Month-to-month,Electronic check,DSL,46.16,1495.82,2,2,1.0,No,0,High Risk
CUST00061,Female,1,47,62,Month-to-month,Mailed check,Fiber optic,112.9,6331.63,5,0,4.8,Yes,1,High Risk
CUST00062,Female,0,49,14,Month-to-month,Bank transfer,DSL,55.19,758.46,7,3,0.5,No,0,Critical Risk
CUST00067,Female,0,23,53,Month-to-month,Credit card,DSL,85.33,4666.54,5,0,0.3,No,0,High Risk
CUST00068,Female,0,31,24,Month-to-month,Electronic check,DSL,103.28,2348.33,1,1,2.0,No,0,High Risk
CUST00069,Male,0,73,26,Month-to-month,Electronic check,DSL,91.28,2203.8,5,1,4.0,No,0,High Risk
CUST00072,Male,0,32,29,Month-to-month,Mailed check,DSL,113.21,3264.19,2,0,0.1,Yes,1,High Risk
CUST00073,Female,0,48,15,Two year,Mailed check,Fiber optic,89.96,1323.8,2,3,1.1,No,0,High Risk
CUST00074,Female,0,36,45,Month-to-month,Electronic check,No,94.08,3738.39,6,2,7.5,No,0,High Risk
CUST00076,Female,0,24,71,Month-to-month,Mailed check,DSL,94.27,6309.79,2,2,2.9,No,0,High Risk
CUST00079,Male,0,60,8,Month-to-month,Bank transfer,Fiber optic,81.75,625.12,1,0,1.8,Yes,1,High Risk
CUST00080,Male,0,22,63,Month-to-month,Credit card,No,105.11,6562.43,6,0,0.5,No,0,High Risk
CUST00082,Female,0,52,8,Month-to-month,Credit card,Fiber optic,22.22,159.47,6,2,0.6,Yes,1,High Risk
CUST00083,Female,0,53,35,Month-to-month,Credit card,DSL,56.65,1752.54,7,3,2.0,No,0,High Risk
CUST00084,Female,0,54,35,Month-to-month,Bank transfer,No,21.54,651.14,3,1,0.6,No,0,High Risk
CUST00085,Male,0,40,33,Month-to-month,Credit card,Fiber optic,28.41,965.12,5,0,1.3,No,0,High Risk
CUST00086,Female,0,53,5,Month-to-month,Mailed check,Fiber optic,79.34,353.09,1,3,6.5,No,0,Critical Risk
CUST00087,Female,0,21,41,Month-to-month,Mailed check,Fiber optic,107.13,4003.83,3,2,3.1,No,0,High Risk
CUST00088,Female,0,19,28,Month-to-month,Electronic check,DSL,30.22,767.6,1,2,0.1,No,0,High Risk
CUST00090,Female,0,52,12,Month-to-month,Electronic check,DSL,110.91,1309.11,6,1,4.6,Yes,1,High Risk
CUST00091,Female,0,63,34,Month-to-month,Electronic check,Fiber optic,101.06,3576.31,4,3,18.0,No,0,Critical Risk
CUST00092,Female,0,21,33,Month-to-month,Bank transfer,Fiber optic,71.01,2146.23,4,3,4.3,No,0,High Risk
CUST00096,Female,0,23,37,Month-to-month,Electronic check,DSL,30.72,1176.66,2,1,1.1,No,0,High Risk
CUST00098,Male,0,34,35,Month-to-month,Electronic check,DSL,53.79,1731.19,4,2,0.6,No,0,High Risk
CUST00100,Male,0,39,47,Month-to-month,Mailed check,Fiber optic,99.57,4376.34,1,1,17.8,No,0,High Risk
CUST00101,Male,0,74,3,Month-to-month,Bank transfer,Fiber optic,62.15,167.1,2,0,2.8,No,0,High Risk
CUST00103,Male,0,29,5,Month-to-month,Mailed check,Fiber optic,45.09,236.51,5,5,,Yes,1,Critical Risk
CUST00104,Female,0,24,14,Month-to-month,Bank transfer,DSL,89.84,1258.51,7,3,5.2,No,0,Critical Risk
CUST00111,Male,0,50,52,Month-to-month,Mailed check,Fiber optic,83.68,4133.94,2,1,2.4,No,0,High Risk
CUST00112,Male,0,57,4,Month-to-month,Electronic check,Fiber optic,74.16,254.82,7,1,5.4,No,0,High Risk
CUST00113,Female,0,30,23,Month-to-month,Electronic check,Fiber optic,43.56,867.03,6,2,1.4,Yes,1,High Risk
CUST00117,Male,1,68,36,Month-to-month,Mailed check,DSL,116.01,4250.76,7,2,2.9,Yes,1,High Risk
CUST00119,Male,0,55,32,Month-to-month,Bank transfer,Fiber optic,91.36,3009.43,3,3,5.9,No,0,Critical Risk
CUST00121,Male,0,26,59,Two year,Bank transfer,DSL,88.3,4832.25,2,3,4.5,Yes,1,High Risk
CUST00124,Female,0,56,42,Month-to-month,Mailed check,DSL,72.58,3033.34,2,2,1.2,No,0,High Risk
CUST00125,Female,0,40,45,Month-to-month,Mailed check,DSL,88.34,4104.45,1,3,,Yes,1,Critical Risk
CUST00126,Female,1,28,62,Two year,Credit card,Fiber optic,87.28,5046.07,3,3,3.1,No,0,High Risk
CUST00128,Female,0,64,6,Month-to-month,Electronic check,DSL,77.85,445.31,2,1,5.6,No,0,High Risk
CUST00129,Female,0,70,28,One year,Mailed check,Fiber optic,99.18,2650.69,6,4,1.6,No,0,High Risk
CUST00130,Male,0,39,28,Month-to-month,Bank transfer,No,66.46,1805.14,3,2,0.3,No,0,High Risk
CUST00134,Female,0,68,62,Month-to-month,Bank transfer,DSL,72.46,,1,0,0.4,Yes,1,High Risk
CUST00135,Female,0,52,1,Two year,Mailed check,Fiber optic,78.79,77.1,4,1,0.2,No,0,High Risk
CUST00138,Male,0,74,3,One year,Electronic check,Fiber optic,82.56,259.16,7,1,0.6,No,0,High Risk
CUST00141,Female,0,41,9,Month-to-month,Credit card,DSL,24.42,210.96,7,3,2.3,No,0,High Risk
CUST00142,Male,1,24,62,Month-to-month,Credit card,DSL,103.08,6206.22,6,1,1.3,Yes,1,High Risk
CUST00143,Male,0,29,37,Month-to-month,Mailed check,DSL,98.02,3599.11,6,2,4.7,No,0,High Risk
CUST00144,Female,1,39,51,Month-to-month,Electronic check,Fiber optic,36.91,1720.89,1,3,4.4,Yes,1,High Risk
CUST00145,Male,0,66,44,Month-to-month,Electronic check,DSL,82.7,3601.67,7,1,5.3,No,0,High Risk
CUST00146,Female,0,52,24,Month-to-month,Bank transfer,DSL,101.47,2326.57,7,0,8.7,Yes,1,High Risk
CUST00148,Female,0,46,32,Month-to-month,Mailed check,No,49.66,1616.4,4,5,1.3,Yes,1,Critical Risk
CUST00155,Male,1,34,2,Month-to-month,Mailed check,No,113.2,219.4,1,1,0.3,Yes,1,Critical Risk
CUST00156,Female,0,21,3,Month-to-month,Credit card,DSL,52.02,139.52,3,2,2.1,No,0,High Risk
CUST00160,Female,0,32,2,Month-to-month,Credit card,Fiber optic,72.56,147.19,4,1,0.4,Yes,1,Critical Risk
CUST00161,Male,0,61,54,Month-to-month,Mailed check,DSL,53.55,2827.43,4,1,1.4,No,0,High Risk
CUST00164,Female,0,25,2,Month-to-month,Bank transfer,Fiber optic,62.72,126.5,2,1,0.1,Yes,1,Critical Risk
CUST00170,Female,0,35,68,Month-to-month,Credit card,Fiber optic,78.21,5253.01,7,1,0.8,No,0,High Risk
CUST00171,Male,0,70,55,Month-to-month,Electronic check,DSL,113.33,5852.41,1,0,3.0,No,0,High Risk
CUST00174,Male,0,37,38,Month-to-month,Electronic check,DSL,37.53,1467.53,4,1,0.6,No,0,High Risk
CUST00176,Female,0,59,69,Month-to-month,Bank transfer,Fiber optic,36.48,2342.78,2,4,0.3,No,0,Critical Risk
CUST00177,Male,1,21,70,Month-to-month,Electronic check,Fiber optic,86.54,5886.25,3,2,2.4,No,0,High Risk
CUST00179,Male,1,61,16,Month-to-month,Mailed check,DSL,119.16,1900.7,3,1,0.1,Yes,1,High Risk
CUST00180,Female,0,30,59,One year,Electronic check,Fiber optic,41.14,2072.78,3,3,1.2,Yes,1,High Risk
CUST00182,Male,1,37,3,One year,Credit card,DSL,118.39,333.9,3,0,0.5,Yes,1,High Risk
CUST00183,Male,0,69,20,Month-to-month,Electronic check,Fiber optic,102.84,1963.87,5,1,1.3,Yes,1,High Risk
CUST00188,Female,1,53,19,Month-to-month,Bank transfer,Fiber optic,39.01,713.6,4,2,0.9,Yes,1,High Risk
CUST00189,Male,0,53,20,Month-to-month,Mailed check,Fiber optic,102.5,1895.75,2,3,3.3,Yes,1,Critical Risk
CUST00190,Male,0,20,71,Month-to-month,Bank transfer,Fiber optic,72.85,4539.13,7,4,0.1,Yes,1,Critical Risk
CUST00193,Female,0,46,40,One year,Credit card,DSL,60.15,2317.56,6,3,0.2,No,0,High Risk
CUST00196,Male,0,55,11,Month-to-month,Bank transfer,Fiber optic,107.27,1204.75,2,2,0.8,No,0,High Risk
CUST00197,Female,0,37,57,Month-to-month,Bank transfer,DSL,70.25,4041.91,7,1,0.7,No,0,High Risk
CUST00198,Female,1,62,50,Month-to-month,Electronic check,Fiber optic,59.25,2976.97,4,1,0.9,No,0,High Risk
CUST00200,Male,0,38,31,Month-to-month,Electronic check,DSL,89.48,2649.9,5,1,2.3,Yes,1,High Risk
CUST00203,Male,0,73,16,Month-to-month,Bank transfer,Fiber optic,42.64,677.93,6,3,9.2,No,0,High Risk
CUST00205,Female,0,19,2,Month-to-month,Electronic check,DSL,99.21,196.23,5,1,2.9,No,0,High Risk
CUST00206,Male,0,41,1,Two year,Electronic check,DSL,18.38,17.28,7,1,1.1,No,0,High Risk
CUST00207,Male,1,23,48,Month-to-month,Credit card,Fiber optic,82.4,4003.89,6,1,6.5,No,0,High Risk
CUST00212,Male,0,69,9,Two year,Electronic check,Fiber optic,98.57,834.41,5,3,1.9,No,0,High Risk
CUST00214,Female,1,19,48,Month-to-month,Electronic check,No,72.34,2979.16,6,3,0.5,Yes,1,Critical Risk
CUST00215,Female,0,43,3,Two year,Mailed check,No,58.04,160.69,7,1,0.7,No,0,High Risk
CUST00218,Female,0,18,54,Month-to-month,Credit card,No,64.04,3092.23,7,0,0.9,No,0,High Risk
CUST00219,Female,0,19,33,Month-to-month,Electronic check,No,69.15,2128.17,7,3,2.1,No,0,High Risk
CUST00224,Male,0,44,18,Month-to-month,Electronic check,Fiber optic,28.05,501.25,1,3,0.7,No,0,Critical Risk
CUST00227,Male,0,24,35,Month-to-month,Bank transfer,No,23.68,709.86,3,0,0.9,No,0,High Risk
CUST00228,Male,0,56,61,Month-to-month,Electronic check,No,99.35,6333.43,1,2,6.7,No,0,High Risk
CUST00230,Female,0,19,33,Month-to-month,Mailed check,DSL,81.76,2500.01,3,1,3.1,No,0,High Risk
CUST00236,Male,1,54,20,Month-to-month,Electronic check,Fiber optic,70.38,1203.76,1,0,0.5,No,0,High Risk
CUST00242,Male,0,35,48,Month-to-month,Mailed check,DSL,72.51,3185.59,2,3,2.6,Yes,1,High Risk
CUST00243,Female,0,57,59,Month-to-month,Mailed check,No,102.93,5922.73,4,2,0.6,No,0,High Risk
CUST00246,Male,0,51,38,Month-to-month,Electronic check,DSL,107.42,3584.02,3,1,1.7,No,0,High Risk
CUST00248,Female,0,66,54,Month-to-month,Mailed check,Fiber optic,100.33,5073.01,6,2,3.4,No,0,High Risk
CUST00250,Female,0,47,27,Month-to-month,Credit card,No,54.41,1340.36,7,3,2.6,No,0,High Risk
CUST00251,Male,0,19,27,Month-to-month,Mailed check,No,118.93,2756.69,4,1,1.1,No,0,High Risk
CUST00252,Male,0,37,21,Month-to-month,Electronic check,Fiber optic,44.78,921.55,4,2,0.5,Yes,1,High Risk
CUST00255,Male,0,21,64,Month-to-month,Bank transfer,Fiber optic,62.34,3936.56,6,2,0.5,Yes,1,High Risk
CUST00258,Female,0,31,48,Month-to-month,Mailed check,DSL,96.06,3959.77,7,4,9.8,Yes,1,Critical Risk
CUST00259,Male,0,26,19,Two year,Bank transfer,Fiber optic,98.2,1723.4,1,3,0.3,No,0,High Risk
CUST00260,Male,0,61,4,Month-to-month,Electronic check,DSL,75.79,270.47,1,1,0.8,Yes,1,Critical Risk
CUST00264,Male,0,47,17,Month-to-month,Electronic check,No,87.1,1546.78,3,1,1.4,No,0,High Risk
CUST00265,Female,0,24,44,Month-to-month,Bank transfer,No,95.36,3806.92,4,3,4.6,Yes,1,Critical Risk
CUST00268,Female,1,34,6,Month-to-month,Credit card,No,100.67,564.05,1,3,1.4,No,0,Critical Risk
CUST00271,Female,0,73,46,Month-to-month,Bank transfer,DSL,46.34,1989.47,2,1,0.6,No,0,High Risk
CUST00272,Male,0,21,53,Month-to-month,Electronic check,DSL,119.66,5804.9,2,2,5.7,No,0,High Risk
CUST00273,Male,0,43,60,Month-to-month,Mailed check,DSL,109.11,5939.52,3,1,2.4,No,0,High Risk
CUST00275,Male,0,73,32,Two year,Credit card,Fiber optic,102.18,2885.04,6,4,1.2,Yes,1,High Risk
CUST00276,Male,0,20,33,Month-to-month,Bank transfer,DSL,101.21,2959.89,1,2,2.2,No,0,High Risk
CUST00277,Female,0,28,67,Month-to-month,Electronic check,DSL,113.35,7323.66,3,1,6.4,No,0,High Risk
CUST00278,Male,0,71,18,Month-to-month,Mailed check,Fiber optic,103.77,1716.06,6,2,5.8,Yes,1,High Risk
CUST00279,Female,1,37,25,One year,Bank transfer,DSL,83.66,1954.1,4,3,2.7,No,0,High Risk
CUST00282,Female,0,19,67,Month-to-month,Mailed check,DSL,81.9,5531.81,6,0,3.5,Yes,1,High Risk
CUST00283,Male,0,60,46,Month-to-month,Electronic check,DSL,99.11,4089.41,2,1,5.8,No,0,High Risk
CUST00284,Male,1,21,24,Month-to-month,Electronic check,Fiber optic,116.84,2933.14,1,3,1.1,Yes,1,Critical Risk
CUST00286,Male,0,66,47,Month-to-month,Mailed check,DSL,76.51,3178.17,5,0,0.3,No,0,High Risk
CUST00287,Female,0,66,23,Month-to-month,Credit card,DSL,63.37,1384.49,1,3,5.9,No,0,High Risk
CUST00288,Female,0,38,66,Month-to-month,Mailed check,No,86.19,5660.42,2,2,0.3,Yes,1,High Risk
CUST00289,Male,0,34,27,Month-to-month,Electronic check,DSL,82.25,1924.62,1,3,3.7,Yes,1,Critical Risk
CUST00290,Female,0,62,2,Month-to-month,Electronic check,Fiber optic,19.82,38.72,7,1,0.6,Yes,1,Critical Risk
CUST00294,Female,0,20,43,Month-to-month,Mailed check,Fiber optic,98.7,3946.94,7,1,3.0,No,0,High Risk
CUST00298,Female,0,48,26,Month-to-month,Electronic check,DSL,36.31,870.61,4,2,1.0,No,0,High Risk
CUST00299,Female,0,48,50,Month-to-month,Credit card,DSL,96.09,4882.24,5,3,0.2,No,0,Critical Risk
CUST00301,Female,1,45,24,Month-to-month,Credit card,Fiber optic,107.83,2683.72,3,0,5.5,Yes,1,High Risk
CUST00302,Female,0,40,13,One year,Mailed check,DSL,58.52,671.47,4,3,1.4,Yes,1,High Risk
CUST00303,Male,0,69,60,Month-to-month,Credit card,DSL,45.41,2323.64,3,1,0.7,No,0,High Risk
CUST00305,Female,0,22,57,Month-to-month,Mailed check,DSL,90.7,5148.07,2,3,3.1,Yes,1,Critical Risk
CUST00306,Female,1,18,36,Month-to-month,Mailed check,Fiber optic,74.61,2808.15,4,3,6.7,No,0,High Risk
CUST00307,Female,0,33,45,One year,Credit card,No,110.23,4993.51,2,4,0.1,No,0,High Risk
CUST00310,Male,0,54,8,Month-to-month,Credit card,No,98.15,797.06,3,4,3.4,Yes,1,Critical Risk
CUST00311,Male,1,33,16,Month-to-month,Electronic check,DSL,114.65,1624.23,6,4,1.9,Yes,1,Critical Risk
CUST00317,Male,0,66,51,Month-to-month,Credit card,No,65.16,2881.54,1,3,2.2,No,0,High Risk
CUST00322,Male,1,74,22,Month-to-month,Electronic check,No,110.27,2302.04,4,0,1.8,Yes,1,High Risk
CUST00323,Female,0,38,58,Month-to-month,Mailed check,Fiber optic,52.75,2639.44,4,0,0.6,No,0,High Risk
CUST00330,Male,1,27,54,Month-to-month,Electronic check,Fiber optic,35.77,1788.61,3,1,1.2,Yes,1,High Risk
CUST00332,Female,0,57,8,Month-to-month,Mailed check,DSL,88.92,666.1,6,1,2.7,Yes,1,High Risk
CUST00333,Female,0,70,53,Month-to-month,Electronic check,No,53.07,2728.68,1,2,1.3,No,0,High Risk
CUST00334,Male,0,44,60,Month-to-month,Mailed check,Fiber optic,88.78,4535.66,3,0,1.2,No,0,High Risk
CUST00335,Male,0,59,5,Month-to-month,Electronic check,Fiber optic,108.19,497.52,1,1,1.2,No,0,Critical Risk
CUST00336,Male,0,57,68,Month-to-month,Electronic check,Fiber optic,66.16,4370.6,1,0,0.2,No,0,High Risk
CUST00337,Male,0,52,6,Month-to-month,Electronic check,Fiber optic,57.06,356.19,4,0,0.3,No,0,Critical Risk
CUST00338,Female,0,53,47,Month-to-month,Electronic check,DSL,43.62,1910.14,6,0,0.3,Yes,1,High Risk
CUST00339,Male,0,28,55,One year,Bank transfer,DSL,79.63,3865.45,6,3,1.1,Yes,1,High Risk
CUST00341,Female,0,52,52,Month-to-month,Electronic check,Fiber optic,51.12,2411.42,4,4,0.5,Yes,1,Critical Risk
CUST00343,Female,0,38,13,Month-to-month,Mailed check,No,59.48,748.56,2,3,0.2,No,0,Critical Risk
CUST00346,Female,0,29,17,Month-to-month,Electronic check,Fiber optic,101.87,1535.16,2,2,6.8,No,0,High Risk
CUST00348,Female,0,42,19,Month-to-month,Electronic check,DSL,89.95,1531.26,5,2,13.0,No,0,High Risk
CUST00353,Female,0,35,9,Month-to-month,Electronic check,Fiber optic,37.24,289.19,4,1,1.1,Yes,1,High Risk
CUST00355,Male,0,56,1,Month-to-month,Electronic check,DSL,73.76,71.28,2,1,0.1,No,0,Critical Risk
CUST00356,Male,0,20,58,Month-to-month,Mailed check,No,90.35,5373.29,2,0,0.9,No,0,High Risk
CUST00357,Male,0,22,1,Month-to-month,Electronic check,DSL,23.1,20.18,1,3,0.9,No,0,Critical Risk
CUST00360,Male,0,31,1,Month-to-month,Mailed check,DSL,100.52,85.74,4,1,0.5,Yes,1,Critical Risk
CUST00363,Female,1,49,64,Month-to-month,Bank transfer,Fiber optic,63.2,3617.05,4,3,0.9,Yes,1,Critical Risk
CUST00364,Female,0,59,63,Month-to-month,Electronic check,Fiber optic,82.53,4576.75,3,1,0.8,Yes,1,High Risk
CUST00367,Male,0,47,67,Month-to-month,Electronic check,DSL,97.35,5865.63,4,1,4.9,No,0,High Risk
CUST00368,Male,0,23,26,Month-to-month,Electronic check,Fiber optic,68.29,1690.8,1,1,0.8,No,0,High Risk
CUST00370,Male,0,19,51,Month-to-month,Credit card,Fiber optic,84.7,3853.94,2,1,0.2,No,0,High Risk
CUST00371,Female,0,43,57,Month-to-month,Bank transfer,Fiber optic,112.11,6391.79,2,0,2.7,No,0,High Risk
CUST00375,Male,0,22,62,Two year,Electronic check,No,118.62,7475.11,7,4,1.8,No,0,High Risk
CUST00377,Male,0,65,16,One year,Electronic check,No,80.69,1290.83,4,3,0.4,No,0,High Risk
CUST00378,Female,0,58,48,Month-to-month,Electronic check,No,22.8,941.52,3,3,3.3,No,0,High Risk
CUST00379,Female,0,60,39,Month-to-month,Mailed check,Fiber optic,107.67,4367.18,6,2,2.6,No,0,High Risk
CUST00381,Female,1,69,23,Month-to-month,Bank transfer,DSL,85.81,1803.97,2,0,8.2,No,0,High Risk
CUST00386,Male,1,38,10,Month-to-month,Credit card,Fiber optic,27.61,279.34,1,1,1.3,Yes,1,High Risk
CUST00387,Female,0,42,19,Month-to-month,Mailed check,Fiber optic,82.64,1591.84,3,0,0.2,Yes,1,High Risk
CUST00388,Male,0,34,58,Month-to-month,Credit card,Fiber optic,47.21,2641.12,4,1,0.8,No,0,High Risk
CUST00389,Female,0,25,1,Month-to-month,Bank transfer,Fiber optic,95.95,82.1,7,2,5.3,Yes,1,High Risk
CUST00391,Male,0,47,4,Month-to-month,Credit card,Fiber optic,31.16,122.14,1,2,1.5,No,0,High Risk
CUST00392,Male,1,50,16,One year,Electronic check,No,71.7,1067.16,6,3,1.0,Yes,1,High Risk
CUST00393,Male,0,19,24,Month-to-month,Bank transfer,Fiber optic,58.37,1349.69,2,2,0.1,No,0,High Risk
CUST00394,Female,0,50,2,One year,Mailed check,Fiber optic,36.4,65.24,5,4,2.5,Yes,1,High Risk
CUST00395,Female,1,69,32,Month-to-month,Bank transfer,No,103.83,3255.72,6,1,3.0,No,0,High Risk
CUST00398,Male,0,58,50,Month-to-month,Mailed check,Fiber optic,19.28,911.7,5,1,0.5,No,0,High Risk
CUST00401,Female,0,65,33,Month-to-month,Credit card,DSL,23.54,741.99,4,1,0.4,No,0,High Risk
CUST00402,Female,0,60,61,One year,Bank transfer,DSL,78.86,4922.82,7,4,0.6,No,0,High Risk
CUST00404,Female,1,37,43,Month-to-month,Electronic check,Fiber optic,89.57,3406.53,2,5,3.2,No,0,Critical Risk
CUST00407,Female,1,55,65,Month-to-month,Bank transfer,Fiber optic,49.14,2809.19,3,3,0.1,Yes,1,Critical Risk
CUST00409,Male,0,29,40,Month-to-month,Credit card,DSL,83.42,3434.82,4,2,13.1,Yes,1,High Risk
CUST00410,Male,0,23,43,Month-to-month,Bank transfer,Fiber optic,96.55,4285.7,6,2,0.1,No,0,High Risk
CUST00412,Female,0,51,29,Month-to-month,Electronic check,DSL,103.08,3114.79,7,3,4.0,No,0,Critical Risk
CUST00415,Male,0,68,46,Month-to-month,Credit card,Fiber optic,80.84,3258.15,5,3,7.6,No,0,Critical Risk
CUST00416,Female,0,31,2,Month-to-month,Bank transfer,Fiber optic,56.28,98.76,2,2,2.3,No,0,High Risk
CUST00417,Female,0,53,35,Month-to-month,Bank transfer,No,118.39,4162.51,4,0,0.8,No,0,High Risk
CUST00419,Male,0,63,26,Month-to-month,Electronic check,Fiber optic,119.86,3138.0,1,1,1.4,No,0,High Risk
CUST00422,Female,0,46,68,Month-to-month,Bank transfer,Fiber optic,24.07,1543.81,6,1,0.2,Yes,1,High Risk
CUST00426,Female,0,50,21,Month-to-month,Electronic check,No,85.49,1740.89,1,0,5.9,No,0,High Risk
CUST00427,Male,0,68,36,Month-to-month,Bank transfer,Fiber optic,119.95,3789.63,2,1,0.1,Yes,1,High Risk
CUST00430,Female,0,67,64,Month-to-month,Bank transfer,Fiber optic,89.04,5838.99,2,2,2.0,No,0,High Risk
CUST00440,Female,0,50,23,Month-to-month,Electronic check,DSL,75.39,1752.24,6,1,0.7,No,0,High Risk
CUST00445,Male,0,56,59,Month-to-month,Mailed check,No,46.87,2722.8,1,3,1.2,Yes,1,Critical Risk
CUST00447,Female,0,19,49,Month-to-month,Credit card,DSL,54.21,2444.18,1,1,0.1,No,0,High Risk
CUST00448,Male,1,62,12,Month-to-month,Mailed check,DSL,25.4,300.67,2,1,0.1,Yes,1,High Risk
CUST00449,Female,0,19,61,One year,Electronic check,No,86.67,5100.43,1,3,7.1,Yes,1,High Risk
CUST00450,Female,0,34,19,One year,Mailed check,No,102.17,2029.78,6,3,0.1,Yes,1,High Risk
CUST00452,Male,0,64,71,Month-to-month,Mailed check,Fiber optic,119.0,7282.6,4,1,0.7,Yes,1,High Risk
CUST00453,Female,0,63,28,Month-to-month,Electronic check,No,25.74,717.23,5,3,4.1,No,0,High Risk
CUST00455,Male,0,65,16,Month-to-month,Mailed check,Fiber optic,63.72,1005.67,7,3,3.1,No,0,High Risk
CUST00457,Female,0,61,12,One year,Credit card,Fiber optic,64.68,737.83,5,4,0.7,No,0,High Risk
CUST00460,Male,0,28,53,Month-to-month,Credit card,Fiber optic,91.6,4990.3,5,4,2.6,Yes,1,Critical Risk
CUST00461,Female,0,68,23,Month-to-month,Electronic check,DSL,46.8,975.56,5,1,0.7,No,0,High Risk
CUST00462,Male,0,73,16,Month-to-month,Electronic check,DSL,103.2,1518.49,4,1,3.9,No,0,High Risk
CUST00463,Male,1,21,57,Month-to-month,Electronic check,DSL,50.32,2794.79,7,0,1.1,Yes,1,High Risk
CUST00464,Male,0,54,39,Month-to-month,Mailed check,No,91.96,3741.71,3,1,3.2,No,0,High Risk
CUST00469,Female,0,58,14,Month-to-month,Mailed check,Fiber optic,83.84,1185.73,6,1,6.1,No,0,High Risk
CUST00477,Female,0,67,46,Two year,Bank transfer,Fiber optic,94.8,3827.68,6,4,6.9,No,0,High Risk
CUST00478,Male,0,32,13,Month-to-month,Credit card,Fiber optic,28.85,333.14,2,1,1.3,No,0,High Risk
CUST00479,Male,1,37,40,Month-to-month,Electronic check,No,26.4,930.44,6,2,1.0,Yes,1,High Risk
